Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Ukraine,UKR,"Children out of school, primary",SE.PRM.UNER,136829,130457,121256,118589,123912,129998,144312,166944,182253,199867,279279,297505,306822,318078,311587,309449,299855,..,..,..
United States,USA,"Children out of school, primary",SE.PRM.UNER,135557,..,..,..,..,..,..,..,711515,..,446256,88850,104711,141533,224977,489065,996160,965853,..,..
