Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,24.0368347236543,23.325332586795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,22.754485726599,24.0486345985713
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,13.1838454928598,16.6440314510365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.4861730232304,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,56.6584738218082,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,76.0344602333505,72.0191543549198
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,44.8465696598776,44.761705694096
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,9.36331359735926,7.93996502459584
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,53.2164924640527,55.7701753016943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,48.8367555799083,48.4609021522354
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,35.7815711349623,40.6183181143561
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,31.6934947262689,32.8895593910847
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,19.613765074754,20.5923590296429
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,46.0320085043705,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,15.5708485829147,20.1658912380486
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,40.1372493342596,54.3043084100873
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,42.6044431481211,42.3863044855837
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,33.8317048233696,37.4495998625311
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,32.1863775524943,39.5602917930958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,37.5798451272169,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,18.0720813933437,22.2501966955153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,19.8299077431227,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,21.4968719824351,35.0420493356329
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,25.0467119622253,18.3667190776921
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,11.767746984448,10.5576734334849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,45.1667574562581,40.2189637388964
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,195.89760161449,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,87.4348841373907,81.065700696964
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,51.6517214467662,43.7132484395931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,19.8131891564045,18.664264897257
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,21.1601792598059,18.5915277970883
